"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 01 20:48:23 GET 2022","Thu Dec 01 20:48:41 GET 2022","18668","firefox","","","","","Re_001 User registration verification test",""
"failed","Wed Nov 30 22:18:08 GET 2022","Wed Nov 30 22:18:20 GET 2022","11742","webkit","","","","","login test",""
"passed","Thu Dec 01 00:02:57 GET 2022","Thu Dec 01 00:03:08 GET 2022","10677","chromium","","","","","login test",""
"broken","Fri Dec 02 01:30:00 GET 2022","Fri Dec 02 01:30:32 GET 2022","32149","chromium","","URL","","","Re_004 Checking the availability of statistics graphs ",""
"failed","Wed Nov 30 22:17:31 GET 2022","Wed Nov 30 22:17:47 GET 2022","16100","firefox","","","","","forgot password ",""
"failed","Wed Nov 30 22:16:59 GET 2022","Wed Nov 30 22:17:11 GET 2022","12507","chromium","","","","","forgot password ",""
"passed","Thu Dec 01 20:49:20 GET 2022","Thu Dec 01 20:49:35 GET 2022","15259","webkit","","URL","","","Re_004 Checking the availability of statistics graphs ",""
"passed","Thu Dec 01 20:48:43 GET 2022","Thu Dec 01 20:48:51 GET 2022","7970","firefox","","URL","","","Re_004 Checking the availability of statistics graphs ",""
"passed","Thu Dec 01 20:48:26 GET 2022","Thu Dec 01 20:48:43 GET 2022","17176","firefox","","","","","Re_002 Validate user login with existing username and password",""
"passed","Thu Dec 01 20:49:01 GET 2022","Thu Dec 01 20:49:16 GET 2022","14330","webkit","","","","","Re_002 Validate user login with existing username and password",""
"passed","Thu Dec 01 20:48:51 GET 2022","Thu Dec 01 20:48:57 GET 2022","6433","firefox","","URL","","","Re_005 Checking the functionality of the search",""
"failed","Fri Dec 02 01:34:00 GET 2022","Fri Dec 02 01:34:18 GET 2022","17953","chromium","","URL","","","Re_005 Checking the functionality of the search",""
"failed","Wed Nov 30 22:17:13 GET 2022","Wed Nov 30 22:17:20 GET 2022","6302","chromium","","","","","search",""
"passed","Thu Dec 01 20:53:50 GET 2022","Thu Dec 01 20:54:07 GET 2022","16643","chromium","","","","","Re_001 User registration verification test",""
"passed","Thu Dec 01 21:24:30 GET 2022","Thu Dec 01 21:24:40 GET 2022","10337","chromium","","","","","Re_002 Validate user login with existing username and password",""
"failed","Wed Nov 30 22:17:14 GET 2022","Wed Nov 30 22:17:29 GET 2022","14579","firefox","","","","","register test",""
"failed","Thu Dec 01 20:49:01 GET 2022","Thu Dec 01 20:49:19 GET 2022","17444","webkit","","","","","Re_001 User registration verification test",""
"failed","Wed Nov 30 22:18:21 GET 2022","Wed Nov 30 22:18:43 GET 2022","21751","webkit","","","","","forgot password ",""
"failed","Wed Nov 30 22:17:21 GET 2022","Wed Nov 30 22:17:34 GET 2022","12655","firefox","","","","","login test",""
"failed","Wed Nov 30 22:18:22 GET 2022","Wed Nov 30 22:18:33 GET 2022","10696","webkit","","","","","hranilische ",""
"passed","Thu Dec 01 20:48:44 GET 2022","Thu Dec 01 20:48:58 GET 2022","14038","firefox","","URL","","","Re_003 User password recovery check ",""
"passed","Thu Dec 01 22:36:24 GET 2022","Thu Dec 01 22:36:37 GET 2022","12393","chromium","","URL","","","Re_003 User password recovery check ",""
"passed","Thu Dec 01 12:50:31 GET 2022","Thu Dec 01 12:50:42 GET 2022","11862","chromium","","","","","hranilische ",""
"passed","Thu Dec 01 20:49:16 GET 2022","Thu Dec 01 20:49:29 GET 2022","13773","webkit","","URL","","","Re_003 User password recovery check ",""
"passed","Thu Dec 01 13:01:24 GET 2022","Thu Dec 01 13:01:37 GET 2022","13048","chromium","","","","","register test",""
"passed","Thu Dec 01 20:49:29 GET 2022","Thu Dec 01 20:49:38 GET 2022","8924","webkit","","URL","","","Re_005 Checking the functionality of the search",""
"failed","Wed Nov 30 22:17:36 GET 2022","Wed Nov 30 22:17:52 GET 2022","16512","firefox","","","","","hranilische ",""
"failed","Wed Nov 30 22:17:50 GET 2022","Wed Nov 30 22:18:06 GET 2022","16527","firefox","","","","","search",""
"failed","Wed Nov 30 22:18:35 GET 2022","Wed Nov 30 22:18:47 GET 2022","12267","webkit","","","","","search",""
"failed","Wed Nov 30 22:17:55 GET 2022","Wed Nov 30 22:18:19 GET 2022","23904","webkit","","","","","register test",""
